,State,Year,total_pop,Uninsured_%,PC_Income,GDP,Flu_%
76,Nebraska,2017.0,1915947.0,8.3,50645.0,113754,0.21707281
77,Nevada,2017.0,2969905.0,11.2,47650.0,143590,0.307013187
78,New Hampshire,2017.0,1348787.0,5.8,58759.0,74253,0.080294368
79,New Jersey,2017.0,8885525.0,7.7,64983.0,540656,0.305609404
80,New Mexico,2017.0,2091784.0,9.1,39747.0,91772,0.557323318
81,New York,2017.0,19589572.0,5.7,65814.0,1424905,0.088970805
82,North Carolina,2017.0,10268233.0,10.7,44409.0,489026,0.137560182
83,North Dakota,2017.0,754942.0,7.5,52736.0,51291,0.134314954
84,Ohio,2017.0,11659650.0,6.0,46829.0,592725,0.095954853
85,Oklahoma,2017.0,3931316.0,14.2,43794.0,188157,0.280262385
86,Oregon,2017.0,4143625.0,6.8,48762.0,209581,0.262258288
87,Pennsylvania,2017.0,12787641.0,5.5,53306.0,695560,0.143185127
88,Rhode Island,2017.0,1055673.0,4.6,52644.0,52727,0.226774768
89,South Carolina,2017.0,5021268.0,11.0,42227.0,202644,0.187024473
90,South Dakota,2017.0,872868.0,9.1,49787.0,46023,0.871953148
91,Tennessee,2017.0,6708799.0,9.5,45233.0,314849,0.165215861
92,Texas,2017.0,28295273.0,17.3,48394.0,1651329,0.195113862
93,Utah,2017.0,3101042.0,9.2,44178.0,153986,0.169039955
94,Vermont,2017.0,624344.0,4.6,51697.0,29312,0.187396692
95,Virginia,2017.0,8463587.0,8.8,55631.0,468125,1.162450389
96,Washington,2017.0,7423362.0,6.1,58437.0,489435,0.025136858
97,West Virginia,2017.0,1817004.0,6.1,38927.0,69743,0.688606079
98,Wisconsin,2017.0,5790186.0,5.4,49264.0,294151,0.075144391
99,Wyoming,2017.0,578931.0,12.3,56524.0,37866,0.521996576
100,Alabama,2018.0,4887681.0,10.0,42710.0,198053,1.309393964
101,Alaska,2018.0,735139.0,12.0,60355.0,52928,1.136111674
102,Arizona,2018.0,7158024.0,10.0,44597.0,314016,0.343307036
103,Arkansas,2018.0,3009733.0,8.0,43325.0,116698,0.193738116
104,California,2018.0,39461588.0,7.0,63720.0,2708966,0.132161433
105,Colorado,2018.0,5691287.0,7.0,58896.0,342865,0.50252254
106,Connecticut,2018.0,3571520.0,5.0,74855.0,249043,0.166343742
107,Delaware,2018.0,965479.0,5.0,52930.0,63162,0.103264804
108,Florida,2018.0,21244317.0,13.0,50964.0,936580,0.105835363
109,Georgia,2018.0,10511131.0,13.0,46957.0,538730,1.11692072
110,Hawaii,2018.0,1420593.0,4.0,55214.0,82203,0.118682832
111,Idaho,2018.0,1750536.0,11.0,44554.0,72455,0.034960721
112,Illinois,2018.0,12723071.0,7.0,57145.0,769631,0.332797011
113,Indiana,2018.0,6695497.0,8.0,47321.0,332156,0.081054476
114,Iowa,2018.0,3148618.0,4.0,50175.0,172844,0.058978256
115,Kansas,2018.0,2911359.0,8.0,51261.0,158192,0.369586849
116,Kentucky,2018.0,4461153.0,5.0,42338.0,187507,0.339710384
117,Louisiana,2018.0,4659690.0,8.0,46207.0,235021,1.927703345
118,Maine,2018.0,1339057.0,8.0,48792.0,57302,0.191253994
119,Maryland,2018.0,6035802.0,6.0,62708.0,368810,0.104045825
120,Massachusetts,2018.0,6882635.0,2.0,71801.0,507806,0.471854166
121,Michigan,2018.0,9984072.0,5.0,47777.0,467828,0.201691254
122,Minnesota,2018.0,5606249.0,4.0,57371.0,337215,0.132691217
123,Mississippi,2018.0,2981020.0,12.0,37852.0,102061,1.019449719
124,Missouri,2018.0,6121623.0,9.0,47109.0,284696,0.088048545
125,Montana,2018.0,1060665.0,8.0,48194.0,46627,0.112099485
126,Nebraska,2018.0,1925614.0,8.0,52890.0,115087,0.656985252
