State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,State,Land Area (sq mi),,2016 Population Density (persons/square mile),2017 Population Density (persons/square mile),2018 Population Density (persons/square mile),2019 Population Density (persons/square mile)
.Pennsylvania,12711160.00,12745815.00,12767118.00,12776309.00,12788313.00,12784826.00,12782275.00,12787641.00,12800922.00,12801989.00,,Pennsylvania,"44,742.66",,285.68,285.8,286.1,286.12
.Rhode Island,1053959.00,1053649.00,1054621.00,1055081.00,1055936.00,1056065.00,1056770.00,1055673.00,1058287.00,1059361.00,,Rhode Island,"1,033.98",,1022.04,1020.98,1023.51,1024.55
.South Carolina,4635649.00,4671994.00,4717354.00,4764080.00,4823617.00,4891938.00,4957968.00,5021268.00,5084156.00,5148714.00,,South Carolina,"30,060.74",,164.93,167.04,169.13,171.28
.South Dakota,816166.00,823579.00,833566.00,842316.00,849129.00,853988.00,862996.00,872868.00,878698.00,884659.00,,South Dakota,"75,811.13",,11.38,11.51,11.59,11.67
.Tennessee,6355311.00,6399291.00,6453898.00,6494340.00,6541223.00,6591170.00,6646010.00,6708799.00,6771631.00,6829174.00,,Tennessee,"41,234.92",,161.17,162.7,164.22,165.62
.Texas,25241971.00,25645629.00,26084481.00,26480266.00,26964333.00,27470056.00,27914410.00,28295273.00,28628666.00,28995881.00,,Texas,"261,231.59",,106.86,108.31,109.59,111
.Utah,2775332.00,2814384.00,2853375.00,2897640.00,2936879.00,2981835.00,3041868.00,3101042.00,3153550.00,3205958.00,,Utah,"82,169.46",,37.02,37.74,38.38,39.02
.Vermont,625879.00,627049.00,626090.00,626210.00,625214.00,625216.00,623657.00,624344.00,624358.00,623989.00,,Vermont,"9,217",,67.67,67.74,67.74,67.7
.Virginia,8023699.00,8101155.00,8185080.00,8252427.00,8310993.00,8361808.00,8410106.00,8463587.00,8501286.00,8535519.00,,Virginia,"39,490.13",,212.97,214.32,215.28,216.14
.Washington,6742830.00,6826627.00,6897058.00,6963985.00,7054655.00,7163657.00,7294771.00,7423362.00,7523869.00,7614893.00,,Washington,"66,455.49",,109.77,111.7,113.22,114.59
.West Virginia,1854239.00,1856301.00,1856872.00,1853914.00,1849489.00,1842050.00,1831023.00,1817004.00,1804291.00,1792147.00,,West Virginia,"24,038.32",,76.17,75.59,75.06,74.55
.Wisconsin,5690475.00,5705288.00,5719960.00,5736754.00,5751525.00,5760940.00,5772628.00,5790186.00,5807406.00,5822434.00,,Wisconsin,"54,157.76",,106.59,106.91,107.23,107.51
.Wyoming,564487.00,567299.00,576305.00,582122.00,582531.00,585613.00,584215.00,578931.00,577601.00,578759.00,,Wyoming,"97,093.07",,6.02,5.96,5.95,5.96
