DATE,GAPCPI,HIPCPI,IDPCPI,ILPCPI,INPCPI,IAPCPI,KSPCPI,KYPCPI,LAPCPI,MEPCPI
2016-01-01,42896.0,51170.0,40567.0,52417.0,43672.0,46547.0,47390.0,39754.0,42528.0,44832.0
2017-01-01,44894.0,53433.0,42268.0,54252.0,45244.0,47662.0,48883.0,40904.0,43932.0,46565.0
2018-01-01,46957.0,55214.0,44554.0,57145.0,47321.0,50175.0,51261.0,42338.0,46207.0,48792.0
2019-01-01,48236.0,57015.0,45968.0,58764.0,48678.0,51865.0,53426.0,43770.0,47460.0,50634.0
