DATE,MDPCPI,MAPCPI,MIPCPI,MNPCPI,MSPCPI,MOPCPI,MTPCPI,NEPCPI,NVPCPI,NHPCPI
2016-01-01,59011.0,65725.0,44637.0,53083.0,35672.0,44318.0,44024.0,49615.0,45351.0,56513.0
2017-01-01,60758.0,68442.0,45948.0,54960.0,36536.0,45342.0,46199.0,50645.0,47650.0,58759.0
2018-01-01,62708.0,71801.0,47777.0,57371.0,37852.0,47109.0,48194.0,52890.0,50000.0,61471.0
2019-01-01,64640.0,74187.0,49228.0,58834.0,38914.0,48656.0,49747.0,54515.0,51161.0,63502.0
