DATE,SCPCPI,SDPCPI,TNPCPI,TXPCPI,UTPCPI,VTPCPI,VAPCPI,WAPCPI,WVPCPI,WIPCPI,WYPCPI
2016-01-01,40569.0,48724.0,43626.0,45803.0,42375.0,50420.0,53792.0,55802.0,37099.0,47598.0,54168.0
2017-01-01,42227.0,49787.0,45233.0,48394.0,44178.0,51697.0,55631.0,58437.0,38927.0,49264.0,56524.0
2018-01-01,43912.0,52633.0,47210.0,51136.0,47008.0,53531.0,57964.0,62209.0,41192.0,51628.0,60689.0
2019-01-01,45438.0,53962.0,48684.0,52813.0,48939.0,55293.0,59657.0,64758.0,42315.0,53227.0,62189.0
