DATE,ALPCPI,AKPCPI,AZPCPI,ARPCPI,CAPCPI,COPCPI,CTPCPI,DEPCPI,DCPCPI,FLPCPI
2016-01-01,39536.0,56302.0,40801.0,40385.0,58048.0,52475.0,69919.0,48836.0,77828.0,46073.0
2017-01-01,41030.0,57394.0,42590.0,41657.0,60549.0,55604.0,71740.0,50798.0,79221.0,48504.0
2018-01-01,42710.0,60355.0,44597.0,43325.0,63720.0,58896.0,74855.0,52930.0,81243.0,50964.0
2019-01-01,44145.0,62806.0,46058.0,44629.0,66619.0,61157.0,77289.0,54485.0,83406.0,52426.0
